image,slice,bjd_tdb,hours_since_first_image,raw_relative_brightness_10_comparisons,raw_relative_brightness_error,working_relative_brightness_7_comparisons,adopted_relative_brightness,condition_model_baseline,review_point,review_reason,condition_model_fit_eligible,used_in_primary_curve,primary_exclusion_reason,airmass,sky_counts_per_pixel,target_width_pixels,target_x_fits,target_y_fits,comparison_counts,meridian_side
TOI_3505.01_50.000s_R-0064_aligned.fits,64,2459782.6458724118,1.1433024220,0.9991240800,0.0015517001,0.9982375146,0.9990755803,1.0000485446,False,,True,True,,1.1417975896,417.0152180731,19.4103939277,1848.4537404761,1743.2919941639,8328533.9323394569,0.0000000000
TOI_3505.01_50.000s_R-0065_aligned.fits,65,2459782.6466247500,1.1613585390,1.0010142657,0.0015258028,0.9993479645,1.0009656742,1.0000485446,False,,True,True,,1.1399654658,409.6979388301,19.4815622294,1849.2042799241,1743.4592946748,8478305.4537306819,0.0000000000
TOI_3505.01_50.000s_R-0066_aligned.fits,66,2459782.6473772163,1.1794177294,0.9982082609,0.0015244905,0.9964088685,0.9981598056,1.0000485446,False,,True,True,,1.1381585680,408.9812218253,19.3789160565,1849.0131343450,1743.8078943024,8472506.8978904095,0.0000000000
TOI_3505.01_50.000s_R-0067_aligned.fits,67,2459782.6481302613,1.1974908113,1.0003501349,0.0014971616,0.9996079846,1.0003015756,1.0000485446,False,,True,True,,1.1363756776,402.0176878051,19.1629347119,1845.8152694828,1744.8122826076,8642838.1592129413,0.0000000000
TOI_3505.01_50.000s_R-0068_aligned.fits,68,2459782.6488823988,1.2155421115,1.0003138995,0.0015701911,0.9987251979,1.0002653420,1.0000485446,False,,True,True,,1.1346201258,418.7613346465,19.6373183009,1848.8277294029,1743.9891454151,8212451.1625446612,0.0000000000
TOI_3505.01_50.000s_R-0069_aligned.fits,69,2459782.6496356763,1.2336207703,1.0030950279,0.0015518904,1.0024588941,1.0030463354,1.0000485446,False,,True,True,,1.1328869766,412.4814161818,20.4034632323,1842.6215396106,1744.0528931305,8313148.9687663019,0.0000000000
TOI_3505.01_50.000s_R-0070_aligned.fits,70,2459782.6503884499,1.2516873367,1.0015596303,0.0015475509,1.0008242295,1.0015110124,1.0000485446,False,,True,True,,1.1311798781,412.7791329107,19.5491375434,1847.3650210338,1742.9390952757,8340262.7228015084,0.0000000000
TOI_3505.01_50.000s_R-0071_aligned.fits,71,2459782.6511416794,1.2697648443,1.0024047392,0.0015157974,1.0002802792,1.0023560802,1.0000485446,False,,True,True,,1.1294964899,403.4756578664,19.5768459780,1848.0493506320,1744.0733631813,8517701.8801204711,0.0000000000
TOI_3505.01_50.000s_R-0072_aligned.fits,72,2459782.6518941256,1.2878235541,1.0011421690,0.0014898067,1.0000177711,1.0010935713,1.0000485446,False,,True,True,,1.1278394031,397.2594918141,19.2152021930,1846.3619102524,1745.4188862438,8671283.0556450747,0.0000000000
TOI_3505.01_50.000s_R-0073_aligned.fits,73,2459782.6526460862,1.3058706075,0.9988739151,0.0014944777,0.9975173668,0.9988254275,1.0000485446,False,,True,True,,1.1262077440,396.3054331889,19.8277531044,1848.4729253031,1744.8446046755,8618291.1494316254,0.0000000000
TOI_3505.01_50.000s_R-0074_aligned.fits,74,2459782.6533985650,1.3239300996,1.0011003937,0.0014758929,1.0009499012,1.0010517980,1.0000485446,False,,True,True,,1.1245991848,390.2755872206,19.9369517214,1847.6457937314,1744.9721418896,8733990.6273367554,0.0000000000
