measured_star,separation_from_measured_position_arcsec,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,parallax,parallax_error,pmra,pmdec,phot_variable_flag,non_single_star
C4,10.5513729758,1821553801274091392,297.1707584749,18.5420814103,18.2910385132,18.8553066254,17.3970394135,1.4582672119,0.9810655713,0.0194543898,0.1638687998,1.3699606952,-4.0538731494,NOT_AVAILABLE,0
C5,0.6469410415,1824561863275786496,296.9073407407,18.6902400279,11.3612136841,11.6530036926,10.9025154114,0.7504882812,1.1098533869,3.8037104028,0.0219746176,-7.7895367070,7.5189143976,NOT_AVAILABLE,0
C5,5.4395508900,1824561863235399808,296.9083660448,18.6915196741,20.8698177338,,,,,,,,,NOT_AVAILABLE,0
C5,5.8510221608,1824561824573911424,296.9063714046,18.6890341772,17.6075534821,17.9104156494,16.4052505493,1.5051651001,0.9926952720,-0.1055506508,0.1176372096,-2.3395640582,-3.9040350160,NOT_AVAILABLE,0
C5,5.9590668690,1824561828874510080,296.9059115541,18.6896091826,20.2709407806,19.5550918579,18.4984989166,1.0565929413,1.0822520256,-0.6771969572,0.7720063329,-1.6963183012,-4.6828813766,NOT_AVAILABLE,0
C5,6.7140306275,1824561863235399936,296.9085060015,18.6918525716,18.8909835815,18.9519710541,17.9286327362,1.0233383179,1.1450548172,0.4832395734,0.2364567816,-1.7363299100,-4.0447876157,NOT_AVAILABLE,0
C5,7.4391693434,1824561828874509184,296.9074963106,18.6881665043,18.7194671631,19.1237430573,17.7852802277,1.3384628296,0.9931154251,0.3314573445,0.1792174131,-4.8657596571,-7.0481230936,NOT_AVAILABLE,0
C5,7.5787085671,1824561824573911296,296.9053156705,18.6904086184,17.2785205841,17.7835865021,16.5298786163,1.2537078857,1.0250421762,0.3139264458,0.0764783993,-2.1958163575,-4.2519419702,NOT_AVAILABLE,0
C5,7.6682728435,1824561828916048384,296.9058679710,18.6887982381,18.6360378265,18.4879264832,16.8874855042,1.6004409790,1.0244309902,0.0759701688,0.1935916692,-3.2032002905,-4.8147447083,NOT_AVAILABLE,0
C5,8.5581066266,1824561863236276096,296.9089303403,18.6922056309,20.6784763336,,,,1.0304285288,-1.0486647435,1.2503727674,-5.8769991395,-0.5937282759,NOT_AVAILABLE,0
C5,9.0626498777,1824561863275785728,296.9100729060,18.6895003765,17.6003665924,18.7858181000,16.4559192657,2.3298988342,1.0272580385,3.4624099474,0.0913973227,-10.2016622027,53.7939739876,NOT_AVAILABLE,0
C5,9.6968204905,1824573614270972160,296.9062658786,18.6926453070,19.9850902557,19.4125061035,18.0924263000,1.3200798035,1.0800632238,-0.3867934247,0.5181269050,-2.4127278157,-5.5247104929,NOT_AVAILABLE,0
C5,10.1936235477,1824561828874508672,296.9076094127,18.6874021194,16.9853706360,17.2969608307,16.0029430389,1.2940177917,0.9544765949,0.2385747325,0.0649501532,2.3980890573,-1.8215786866,NOT_AVAILABLE,0
C5,10.1972892491,1824561828916047872,296.9071337499,18.6874251264,17.3590259552,,,,0.9940417409,0.2200488799,0.0770912617,-4.4106110740,-8.3212576613,NOT_AVAILABLE,0
C5,11.2750591062,1824573614307924736,296.9066483253,18.6932511664,14.7794342041,15.5415630341,13.9226083755,1.6189546585,0.9907056093,0.3407596028,0.0225877482,-4.0044326973,-8.2205591708,NOT_AVAILABLE,0
C5,11.3310956375,1824561828874508544,296.9071780111,18.6871029030,20.4209117889,,,,1.0555781126,-1.2505010187,0.9062232375,-2.9230266767,-4.2071153383,NOT_AVAILABLE,0
C5,11.3440184662,1824561828875564800,296.9058856662,18.6874936292,19.6296482086,20.6057434082,18.8682212830,1.7375221252,0.9704074264,0.3432754516,0.3503467739,-4.1425358004,-3.9799380339,NOT_AVAILABLE,0
C5,11.9796013325,1824561858929021184,296.9097850654,18.6927844552,18.0964107513,18.7884693146,17.2964363098,1.4920330048,1.0164836645,0.1291945112,0.1174918711,-2.6715351758,-5.6775592343,NOT_AVAILABLE,0
C6,0.5857931017,1824532829294051840,297.0174800203,18.5472718666,11.6883449554,12.2909517288,10.9430761337,1.3478755951,1.0197548866,0.6465495359,0.0163497888,-2.8973714100,-3.5064145634,NOT_AVAILABLE,0
C6,4.6327211035,1824532829246782976,297.0164134277,18.5477778803,18.5982074738,18.3494510651,16.8978462219,1.4516048431,1.0707145929,0.1938054981,0.1911686957,-3.2904615332,-5.6422615172,NOT_AVAILABLE,0
C6,9.5787200967,1824532824949543296,297.0165106967,18.5448142689,17.5945949554,18.0624523163,16.8628540039,1.1995983124,1.0327074528,0.4399468522,0.1018064246,-2.5647248747,-6.3532240159,NOT_AVAILABLE,0
C6,9.5894424112,1824532829294055808,297.0162009966,18.5495285966,19.6172504425,19.8908405304,18.5577678680,1.3330726624,1.0177627802,0.2994876437,0.3361798525,-3.7512306622,-6.4967577980,NOT_AVAILABLE,0
C6,10.2353364828,1824532829245145984,297.0149656089,18.5485146418,20.6836872101,,,,,,,,,NOT_AVAILABLE,0
C6,10.8691011721,1824532829245146368,297.0146435628,18.5482432139,19.9326705933,,,,1.1643252373,1.0548963395,1.4080170393,0.0220124017,-10.9809700028,NOT_AVAILABLE,0
C6,10.8810216664,1824532829245146240,297.0147196408,18.5484378016,19.4549732208,19.3499259949,17.6850929260,1.6648330688,3.1654570103,-4.2630074413,1.0969880819,-4.7105692152,-8.5599507929,NOT_AVAILABLE,0
C6,11.7927282876,1824532829245146112,297.0145001603,18.5485936764,20.8161621094,,,,,,,,,NOT_AVAILABLE,0
C6,11.8390972851,1824532829294056320,297.0142144946,18.5467881802,16.2131557465,16.9413948059,15.3703937531,1.5710010529,0.9853023887,1.2686820593,0.0434096903,0.0424556448,-22.4500291526,NOT_AVAILABLE,0
C7,0.6795305063,1824575705902674176,296.8876223996,18.8248953640,11.2925291061,11.3962593079,11.0992231369,0.2970361710,0.9460315108,0.9009844061,0.0219790526,-0.3255593297,-3.0551488981,NOT_AVAILABLE,0
C7,4.2603951284,1824575710216950400,296.8867661706,18.8242511404,20.8394660950,17.8628082275,17.4912605286,0.3715476990,,,,,,NOT_AVAILABLE,0
C7,4.7420300971,1824575744575272448,296.8882312914,18.8261445397,19.0949134827,,,,1.0575237274,0.2507686571,0.4078232646,-0.3711252213,-4.3479910153,NOT_AVAILABLE,0
C7,5.9196740319,1824575744575272320,296.8882294687,18.8264840773,18.2430057526,18.0975723267,17.0243072510,1.0732650757,0.9935872555,0.4632132801,0.1841013134,-1.7080029140,-3.5424434273,NOT_AVAILABLE,0
C7,6.6178125514,1824575710216950528,296.8861766683,18.8239082965,21.1993484497,20.2293777466,20.0382537842,0.1911239624,,,,,,NOT_AVAILABLE,0
C7,7.0331445354,1824575744612038400,296.8889213773,18.8265389050,20.2825965881,,,,1.0255362988,0.2576662605,0.8878883719,-2.0558732859,-6.8545151126,NOT_AVAILABLE,0
C7,7.1126109407,1824575710215521792,296.8880320338,18.8229200348,19.2992191315,19.4694900513,18.4476394653,1.0218505859,0.9710239768,-0.0076118557,0.3072564602,-2.0646057807,-3.7439539444,NOT_AVAILABLE,0
C7,7.1552237853,1824575744575272576,296.8881903869,18.8268423559,20.0259456635,,,,1.0007210970,0.2416378342,0.6430654526,-3.2221827534,-6.6588210587,NOT_AVAILABLE,0
C7,7.9366554372,1824575744575272064,296.8888494357,18.8268640422,19.1196613312,19.4149436951,17.9140625000,1.5008811951,1.0176799297,0.4562556993,0.2653889656,0.3257742640,-2.7812046286,NOT_AVAILABLE,0
C7,9.6836586629,1824575710217576704,296.8870521818,18.8222962379,21.1372318268,21.9423942566,20.3767013550,1.5656929016,,,,,,NOT_AVAILABLE,0
